,show_name,show_clips_count,show_episodes_count,main_genre,show_rating,show_seasons_count,show_videos_count,show_company_name,Action and Adventure,Animation and Cartoons,Anime,Anime - Action Adventure,Anime - Supernatural and Horror,Anime - Tournament,Classics,Comedy,Competition,Cooking Competitions,Crime and Courtroom Drama,Drama,Espionage,Family,Fashion and Beauty,Food,Health and Wellness,Horror and Suspense,International,Japanese,Kids,Late Night Comedy,Latino,Lifestyle,Medical Drama,Military and War,Music,Musicals,Mystery,News and Information,Police Drama,Primetime Animation,Real Life Drama,Reality and Game Shows,Romance,Romantic Comedy,Saturday Morning Cartoons,Science Fiction,Science Fiction - Thriller,Sitcoms,Sketch Comedy,Soap Operas,Talk and Interview,Teen,Videogames
61,grimm,44,5,Action and Adventure,4.600659796,1,49,NBC,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,this-is-us,71,18,Drama,4.795632995,1,89,NBC,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,masterchef,146,10,Food,4.217078235,1,156,FOX,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,the-thundermans,0,69,Kids,4.024492557,3,69,Nickelodeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,vikings,0,49,Action and Adventure,4.78311932,4,49,History,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,pretty-little-liars,7,5,Drama,4.498914555,1,12,Freeform,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,jersey-shore,33,74,Reality and Game Shows,3.5956574,6,107,MTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
68,general-hospital,1052,10,Drama,3.8199223860000004,1,1062,ABC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,blindspot,49,45,Drama,4.522517065,2,94,NBC,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,happy-endings,139,57,Comedy,4.3547987610000005,3,196,Sony Pictures Television,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,catfish-the-tv-show,78,77,Reality and Game Shows,4.198490154,5,155,MTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
72,jimmy-kimmel-live,1605,16,News and Information,3.2966858460000004,1,1621,ABC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,the-cleveland-show,0,88,Animation and Cartoons,3.621983592,4,88,FOX,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
74,project-runway,163,88,Health and Wellness,3.884819104,6,251,Lifetime,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,survivor,0,319,Teen,4.002237913,21,319,CBS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,homeland,11,72,Drama,4.69207411,6,83,SHOWTIME,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,awkward,93,89,Comedy,4.5081756760000005,5,182,MTV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,fresh-off-the-boat,31,60,Comedy,4.420029648,3,91,ABC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,last-man-standing,2,22,Comedy,4.375276496000001,1,24,ABC,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,dancing-with-the-stars,31,0,Reality and Game Shows,3.242755018,0,31,ABC,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
